transaction_id,account_code,dept_code,month,actual_amount,description
1,4000,BT,1/1/25,1242282,
2,4000,BT,2/1/25,1285897,
3,4000,BT,3/1/25,1072135,
4,4000,BT,4/1/25,873082,
5,4000,BT,5/1/25,2402362,May sales exceeded budget on strong demand during a spring skincare promotion
6,4000,BT,6/1/25,1299824,
7,4000,BT,7/1/25,1173968,
8,4000,BT,8/1/25,844365,
9,4000,BT,9/1/25,1689327,September sales surged well above budget on strong back-to-school and Chuseok gifting demand
10,4000,BT,10/1/25,1181260,
11,4000,BT,11/1/25,2566245,
12,4000,BT,12/1/25,2485219,"December sales exceeded budget as the postponed November product launch shifted into December, driving stronger year-end demand"
13,5000,BT,1/1/25,734561,
14,5000,BT,2/1/25,766395,
15,5000,BT,3/1/25,639421,
16,5000,BT,4/1/25,498093,COGS came in below budget after a renegotiated packaging supplier contract lowered per-unit cost
17,5000,BT,5/1/25,1358776,
18,5000,BT,6/1/25,757537,
19,5000,BT,7/1/25,657656,"July COGS came in below budget as summer sales volume was lighter than planned, reducing production costs"
20,5000,BT,8/1/25,500202,"August COGS remained below budget, continuing the softer summer sales trend from July"
21,5000,BT,9/1/25,979303,COGS rose in line with the September sales surge from back-to-school and holiday demand
22,5000,BT,10/1/25,663159,
23,5000,BT,11/1/25,1464043,
24,5000,BT,12/1/25,1429249,COGS increased in line with the December sales surge from the postponed November launch
25,6101,BT,1/1/25,115405,Temporary staff and onboarding costs for new hires supporting Q1 store operations exceeded the initial payroll budget
26,6101,BT,2/1/25,107315,
27,6101,BT,3/1/25,108411,
28,6101,BT,4/1/25,109856,
29,6101,BT,5/1/25,110691,
30,6101,BT,6/1/25,114394,
31,6101,BT,7/1/25,108662,July payroll remained below budget as store staffing needs eased during the lighter summer sales period
32,6101,BT,8/1/25,110005,August payroll stayed below budget as the same reduced summer staffing levels from July continued
33,6101,BT,9/1/25,104614,"Despite the September sales surge, payroll remained below budget as the growth was driven by online channel volume rather than in-store staffing"
34,6101,BT,10/1/25,106914,Payroll came in below budget after two open sales associate positions remained unfilled through October
35,6101,BT,11/1/25,107135,The same unfilled sales associate positions from October kept payroll below budget in November
36,6101,BT,12/1/25,113719,
37,6102,BT,1/1/25,18691,
38,6102,BT,2/1/25,19824,
39,6102,BT,3/1/25,20871,
40,6102,BT,4/1/25,20797,
41,6102,BT,5/1/25,20615,
42,6102,BT,6/1/25,19880,
43,6102,BT,7/1/25,18086,
44,6102,BT,8/1/25,17970,
45,6102,BT,9/1/25,19878,
46,6102,BT,10/1/25,19223,
47,6102,BT,11/1/25,18636,
48,6102,BT,12/1/25,19553,
49,6103,BT,1/1/25,11834,
50,6103,BT,2/1/25,12855,
51,6103,BT,3/1/25,12831,
52,6103,BT,4/1/25,12098,
53,6103,BT,5/1/25,13049,
54,6103,BT,6/1/25,13341,
55,6103,BT,7/1/25,11578,
56,6103,BT,8/1/25,11678,
57,6103,BT,9/1/25,12418,
58,6103,BT,10/1/25,12250,
59,6103,BT,11/1/25,11676,
60,6103,BT,12/1/25,11714,
61,6104,BT,1/1/25,24537,
62,6104,BT,2/1/25,24740,
63,6104,BT,3/1/25,25378,
64,6104,BT,4/1/25,24965,
65,6104,BT,5/1/25,25356,
66,6104,BT,6/1/25,25403,
67,6104,BT,7/1/25,23418,
68,6104,BT,8/1/25,23733,
69,6104,BT,9/1/25,24392,
70,6104,BT,10/1/25,24950,
71,6104,BT,11/1/25,24012,
72,6104,BT,12/1/25,24610,
73,6105,BT,1/1/25,53532,
74,6105,BT,2/1/25,56600,
75,6105,BT,3/1/25,56522,
76,6105,BT,4/1/25,53855,
77,6105,BT,5/1/25,53649,
78,6105,BT,6/1/25,58358,
79,6105,BT,7/1/25,50273,July incentive payout was lower than budget in line with softer summer sales performance
80,6105,BT,8/1/25,49503,"August incentive payout remained below plan, consistent with the softer summer sales trend"
81,6105,BT,9/1/25,53763,"September incentive payout came in below budget as online sales, which carry a lower commission rate, drove most of the growth"
82,6105,BT,10/1/25,51506,Sales incentive payout was lower than budget following softer October promotional performance
83,6105,BT,11/1/25,51159,November incentive payout remained below plan as store traffic softened ahead of the holiday ramp-up
84,6105,BT,12/1/25,64247,
85,6106,BT,1/1/25,0,
86,6106,BT,2/1/25,0,
87,6106,BT,3/1/25,0,
88,6106,BT,4/1/25,0,
89,6106,BT,5/1/25,0,
90,6106,BT,6/1/25,0,
91,6106,BT,7/1/25,0,
92,6106,BT,8/1/25,0,
93,6106,BT,9/1/25,0,
94,6106,BT,10/1/25,19758,
95,6106,BT,11/1/25,0,
96,6106,BT,12/1/25,0,
97,6209,BT,1/1/25,4394,
98,6209,BT,2/1/25,2632,
99,6209,BT,3/1/25,3033,
100,6209,BT,4/1/25,6164,
101,6209,BT,5/1/25,8381,
102,6209,BT,6/1/25,6853,
103,6209,BT,7/1/25,2989,
104,6209,BT,8/1/25,4824,
105,6209,BT,9/1/25,3288,
106,6209,BT,10/1/25,3525,
107,6209,BT,11/1/25,6940,"A planned November product launch was postponed to December after a supplier delay pushed back inventory, reducing travel spend tied to the launch event"
108,6209,BT,12/1/25,6241,
109,6301,BT,1/1/25,25894,
110,6301,BT,2/1/25,27632,
111,6301,BT,3/1/25,29033,
112,6301,BT,4/1/25,27664,
113,6301,BT,5/1/25,29881,The May skincare promotion drove strong sales but required less warehouse capacity than budgeted due to efficient inventory turnover
114,6301,BT,6/1/25,28353,
115,6301,BT,7/1/25,24489,
116,6301,BT,8/1/25,26324,
117,6301,BT,9/1/25,24788,
118,6301,BT,10/1/25,25025,
119,6301,BT,11/1/25,28440,Warehouse activity came in below budget as inventory tied to the postponed November launch had not yet arrived
120,6301,BT,12/1/25,27741,Warehouse costs remained below budget as the December launch was executed with a leaner logistics footprint than originally planned for November
121,6302,BT,1/1/25,21271,
122,6302,BT,2/1/25,21436,
123,6302,BT,3/1/25,22930,
124,6302,BT,4/1/25,21679,
125,6302,BT,5/1/25,23755,"Outbound shipping costs came in below budget as the May promotion was fulfilled through fewer, consolidated shipments"
126,6302,BT,6/1/25,21302,
127,6302,BT,7/1/25,19638,
128,6302,BT,8/1/25,20101,
129,6302,BT,9/1/25,20300,
130,6302,BT,10/1/25,21113,
131,6302,BT,11/1/25,24143,Outbound shipping volume was lower than budget due to the inventory delay behind the postponed November launch
132,6302,BT,12/1/25,24009,Outbound shipping costs came in below budget as the December launch used consolidated shipments rather than the original expedited plan
133,6401,BT,1/1/25,29545,
134,6401,BT,2/1/25,28768,
135,6401,BT,3/1/25,29889,
136,6401,BT,4/1/25,29049,
137,6401,BT,5/1/25,30420,The May promotion was driven primarily through owned social channels at lower cost than the original paid campaign plan
138,6401,BT,6/1/25,28334,
139,6401,BT,7/1/25,27669,
140,6401,BT,8/1/25,28155,
141,6401,BT,9/1/25,26932,
142,6401,BT,10/1/25,29258,
143,6401,BT,11/1/25,30701,Digital ad spend originally planned around the November launch was held back after the launch was postponed
144,6401,BT,12/1/25,33124,Digital ad spend for the December launch came in below the original November campaign budget after switching to a lower-cost channel mix
145,6402,BT,1/1/25,10000,
146,6402,BT,2/1/25,10000,
147,6402,BT,3/1/25,19786,
148,6402,BT,4/1/25,10000,
149,6402,BT,5/1/25,19638,"A trade show originally budgeted for May was combined with a June event, reducing May spend"
150,6402,BT,6/1/25,10000,
151,6402,BT,7/1/25,10000,
152,6402,BT,8/1/25,10000,
153,6402,BT,9/1/25,10000,
154,6402,BT,10/1/25,10000,
155,6402,BT,11/1/25,12925,The trade show activation planned to support the November launch was postponed to December along with the launch itself
156,6402,BT,12/1/25,10000,The trade show activation for the December launch was scaled down from the original November plan
157,6403,BT,1/1/25,6743,
158,6403,BT,2/1/25,6321,
159,6403,BT,3/1/25,6805,
160,6403,BT,4/1/25,6883,
161,6403,BT,5/1/25,6356,
162,6403,BT,6/1/25,6659,
163,6403,BT,7/1/25,6374,
164,6403,BT,8/1/25,6425,
165,6403,BT,9/1/25,6232,
166,6403,BT,10/1/25,6038,
167,6403,BT,11/1/25,6992,A marketing platform upgrade planned to support the November launch was delayed along with the launch
168,6403,BT,12/1/25,6974,
169,6404,BT,1/1/25,12398,
170,6404,BT,2/1/25,12647,
171,6404,BT,3/1/25,14147,
172,6404,BT,4/1/25,12905,
173,6404,BT,5/1/25,12758,"Content production for the May promotion reused existing assets, reducing costs below budget"
174,6404,BT,6/1/25,12811,
175,6404,BT,7/1/25,12687,
176,6404,BT,8/1/25,12583,
